date,fund,company,ticker,cusip,shares,market value($),weight(%)
4/30/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3956631,676029972.7,6.96
4/30/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3728122,495914788.4,5.1
4/30/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,13893666,465159937.7,4.79
4/30/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,911413,442035305,4.55
4/30/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2947094,402514098.5,4.14
4/30/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1740415,368724321.9,3.79
4/30/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4203163,361598112.9,3.72
4/30/2021,ARKG,CAREDX INC,CDNA,14167L103,4517159,353648378.1,3.64
4/30/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3822121,328205530.3,3.38
4/30/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,7829235,323112528.5,3.32
4/30/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,18951054,316293091.3,3.25
4/30/2021,ARKG,ACCOLADE INC,ACCD,4.37E+104,5408195,270139340.3,2.78
4/30/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1336352,263795884.8,2.71
4/30/2021,ARKG,INCYTE CORP,INCY,45337C102,3026829,256947513.8,2.64
4/30/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,5902986,255717353.5,2.63
4/30/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1897500,250242300,2.57
4/30/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,849313,239514759.1,2.46
4/30/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7582757,237643604.4,2.44
4/30/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2595154,197569074,2.03
4/30/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2630426,179053097.8,1.84
4/30/2021,ARKG,INVITAE CORP,NVTA,46185L103,5082921,177902235,1.83
4/30/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,3702226,158603361.8,1.63
4/30/2021,ARKG,BERKELEY LIGHTS INC,BLI,84310101,3116353,157001864.1,1.62
4/30/2021,ARKG,CODEXIS INC,CDXS,192005106,6362233,150466810.5,1.55
4/30/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1791924,143497273.9,1.48
4/30/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1814177,141687223.7,1.46
4/30/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2206604,138773325.6,1.43
4/30/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,6733279,138166885.1,1.42
4/30/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5543096,135694990.1,1.4
4/30/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1884122,134545152,1.38
4/30/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3236478,120623535.1,1.24
4/30/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,712180,114447326,1.18
