company,weight,fund,ticker,prev.weights,final.weights
TELADOC HEALTH INC,7.51,ARKG,TDOC,7.51,7.6
EXACT SCIENCES CORP,6.73,ARKG,EXAS,6.73,6.9
PACIFIC BIOSCIENCES OF CALIF,5.47,ARKG,PACB,5.47,5.6
FATE THERAPEUTICS INC,4.29,ARKG,FATE,4.29,4.4
VERTEX PHARMACEUTICALS INC,4.19,ARKG,VRTX,4.19,4.3
IONIS PHARMACEUTICALS INC,3.79,ARKG,IONS,3.79,3.9
TWIST BIOSCIENCE CORP,3.52,ARKG,TWST,3.52,3.6
INTELLIA THERAPEUTICS INC,3.44,ARKG,NTLA,3.44,3.5
CAREDX INC,3.11,ARKG,CDNA,3.11,3.2
GINKGO BIOWORKS HOLDINGS INC,3.03,ARKG,DNA,3.03,3.1
BEAM THERAPEUTICS INC,2.99,ARKG,BEAM,2.99,3.1
CRISPR THERAPEUTICS AG,2.97,ARKG,CRSP,2.97,3
ADAPTIVE BIOTECHNOLOGIES,2.95,ARKG,ADPT,2.95,3
ACCOLADE INC,2.45,ARKG,ACCD,2.45,2.5
TAKEDA PHARMACEUTIC-SP ADR,2.44,ARKG,TAK UN,2.44,2.5
CODEXIS INC,2.37,ARKG,CDXS,2.37,2.4
SIGNIFY HEALTH INC -CLASS A,2.23,ARKG,SGFY,2.23,2.3
INCYTE CORP,2.17,ARKG,INCY,2.17,2.2
UIPATH INC - CLASS A,2.16,ARKG,PATH,2.16,2.2
SCHRODINGER INC,2.11,ARKG,SDGR,2.11,2.2
ARCTURUS THERAPEUTICS HOLDIN,1.84,ARKG,ARCT UQ,1.84,1.9
INVITAE CORP,1.74,ARKG,NVTA,1.74,1.8
SOMALOGIC INC,1.58,ARKG,SLGC,1.58,1.6
VERACYTE INC,1.5,ARKG,VCYT,1.5,1.5
10X GENOMICS INC-CLASS A,1.46,ARKG,TXG,1.46,1.5
1LIFE HEALTHCARE INC,1.43,ARKG,ONEM,1.43,1.5
BERKELEY LIGHTS INC,1.35,ARKG,BLI,1.35,1.4
908 DEVICES INC,1.35,ARKG,MASS,1.35,1.4
REPARE THERAPEUTICS INC,1.3,ARKG,RPTX,1.3,1.3
QUANTUM-SI INC,1.24,ARKG,QSI,1.24,1.3
REGENERON PHARMACEUTICALS,1.22,ARKG,REGN,1.22,1.2
PERSONALIS INC,1.19,ARKG,PSNL,1.19,1.2
BUTTERFLY NETWORK INC,1.13,ARKG,BFLY,1.13,1.2
IOVANCE BIOTHERAPEUTICS INC,1.13,ARKG,IOVA,1.13,1.2
VEEVA SYSTEMS INC-CLASS A,1.09,ARKG,VEEV,1.09,1.1
CASTLE BIOSCIENCES INC,1,ARKG,CSTL,1,1
VERVE THERAPEUTICS INC,0.91,ARKG,VERV,0.91,0.9
RECURSION PHARMACEUTICALS-A,0.84,ARKG,RXRX,0.84,0.9
PALANTIR TECHNOLOGIES INC-A,0.64,ARKG,PLTR,0.64,0.7
CERUS CORP,0.62,ARKG,CERS,0.62,0.6
EDITAS MEDICINE INC,0.6,ARKG,EDIT,0.6,0.6
ALLOGENE THERAPEUTICS INC,0.6,ARKG,ALLO,0.6,0.6
ZYMERGEN INC,0.56,ARKG,ZY,0.56,0.6
CELLECTIS - ADR,0.5,ARKG,CLLS,0.5,0.5
AQUABOUNTY TECHNOLOGIES,0.27,ARKG,AQB,0.27,0.5
BURNING ROCK BIOTECH LTD-ADR,0.22,ARKG,BNR,0.22,0.5
PFIZER INC,1.23,ARKG,PFE,0,0
SURFACE ONCOLOGY INC,0.58,ARKG,SURF,0,0
DYNAMICS SPECIAL PURPOSE C-A,0.45,ARKG,DYNS,0,0
COMPUGEN LTD,0.27,ARKG,CGEN,0,0
DREYFUS GOVT CASH MAN INS,0.11,ARKG,,0,0
EVOGENE LTD,0.1,ARKG,EVGN,0,0
ORGANOVO HOLDINGS INC,0.02,ARKG,ONVO,0,0
