company,weight(%),fund,ticker,prev.weights,final.weights
TELADOC HEALTH INC,8.43,ARKG,TDOC,8.43,8.8
PACIFIC BIOSCIENCES OF CALIF,5.66,ARKG,PACB,5.66,6
EXACT SCIENCES CORP,4.51,ARKG,EXAS,4.51,4.8
TWIST BIOSCIENCE CORP,4.49,ARKG,TWST,4.49,4.7
REGENERON PHARMACEUTICALS,4.18,ARKG,REGN,4.18,4.4
ROCHE HOLDINGS LTD-SPONS ADR,3.8,ARKG,RHHBY,3.8,4
CAREDX INC,3.65,ARKG,CDNA,3.65,3.8
FATE THERAPEUTICS INC,3.62,ARKG,FATE,3.62,3.8
NOVARTIS AG-SPONSORED ADR,3.5,ARKG,NVS,3.5,3.7
VERTEX PHARMACEUTICALS INC,3.41,ARKG,VRTX,3.41,3.6
IOVANCE BIOTHERAPEUTICS INC,3.14,ARKG,IOVA,3.14,3.3
CRISPR THERAPEUTICS AG,2.67,ARKG,CRSP,2.67,2.8
INVITAE CORP,2.43,ARKG,NVTA,2.43,2.6
INCYTE CORP,2.09,ARKG,INCY,2.09,2.2
VEEVA SYSTEMS INC-CLASS A,2.09,ARKG,VEEV,2.09,2.2
ARCTURUS THERAPEUTICS HOLDIN,2.05,ARKG,ARCT UQ,2.05,2.2
CASTLE BIOSCIENCES INC,2.05,ARKG,CSTL,2.05,2.2
PERSONALIS INC,2.03,ARKG,PSNL,2.03,2.1
ACCOLADE INC,1.93,ARKG,ACCD,1.93,2
IONIS PHARMACEUTICALS INC,1.89,ARKG,IONS,1.89,2
PURE STORAGE INC - CLASS A,1.85,ARKG,PSTG,1.85,2
10X GENOMICS INC-CLASS A,1.69,ARKG,TXG,1.69,1.8
BEAM THERAPEUTICS INC,1.67,ARKG,BEAM,1.67,1.8
SCHRODINGER INC,1.66,ARKG,SDGR,1.66,1.8
BERKELEY LIGHTS INC,1.48,ARKG,BLI,1.48,1.6
BRISTOL-MYERS SQUIBB CO,1.44,ARKG,BMY,1.44,1.5
THERMO FISHER SCIENTIFIC INC,1.33,ARKG,TMO,1.33,1.4
CODEXIS INC,1.26,ARKG,CDXS,1.26,1.3
SAREPTA THERAPEUTICS INC,1.23,ARKG,SRPT,1.23,1.3
INTELLIA THERAPEUTICS INC,1.23,ARKG,NTLA,1.23,1.3
ALPHABET INC-CL A,1.19,ARKG,GOOGL,1.19,1.3
VERACYTE INC,1.16,ARKG,VCYT,1.16,1.2
ADAPTIVE BIOTECHNOLOGIES,1.11,ARKG,ADPT,1.11,1.2
GUARDANT HEALTH INC,1.04,ARKG,GH,1.04,1.1
NANOSTRING TECHNOLOGIES INC,0.95,ARKG,NSTG,0.95,1
EDITAS MEDICINE INC,0.8,ARKG,EDIT,0.8,0.8
SERES THERAPEUTICS INC,0.68,ARKG,MCRB,0.68,0.7
COMPUGEN LTD,0.57,ARKG,CGEN,0.57,0.6
AQUABOUNTY TECHNOLOGIES,0.56,ARKG,AQB,0.56,0.6
CERUS CORP,0.48,ARKG,CERS,0.48,0.5
CM LIFE SCIENCES INC-CLASS A,0.36,ARKG,CMLF,0.36,0.5
SURFACE ONCOLOGY INC,0.3,ARKG,SURF,0.3,0.5
SYROS PHARMACEUTICALS INC,0.28,ARKG,SYRS,0.28,0.5
1LIFE HEALTHCARE INC,0.13,ARKG,ONEM,0.13,0.5
ORGANOVO HOLDINGS INC,0.04,ARKG,ONVO,0.04,0.5
ABBVIE INC,0.51,ARKG,ABBV,0.51,0.5
BUTTERFLY NETWORK INC,0.5,ARKG,BFLY,0.5,0.5
SIGNIFY HEALTH INC -CLASS A,0.2,ARKG,SGFY,0,0
TAKEDA PHARMACEUTIC-SP ADR,3,ARKG,TAK UN,0,0
CELLECTIS - ADR,1.18,ARKG,CLLS,0,0
PHREESIA INC,1.09,ARKG,PHR,0,0
908 DEVICES INC,0.34,ARKG,MASS,0,0
REPARE THERAPEUTICS INC,0.33,ARKG,RPTX,0,0
EVOGENE LTD,0.3,ARKG,EVGN,0,0
PLURISTEM THERAPEUTICS INC,0.22,ARKG,PSTI,0,0
MORGAN STANLEY GOVT INSTL 8035,0.17,ARKG,,0,0
HIMS & HERS HEALTH INC,0.08,ARKG,HIMS,0,0
