date,fund,company,ticker,cusip,shares,market value($),weight(%)
06/04/2021,ARKK,TESLA INC,TSLA,88160R101,3442727,1972131735,9.78
06/04/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8487605,1244198017,6.17
06/04/2021,ARKK,ROKU INC,ROKU,77543R102,3458717,1119932565,5.55
06/04/2021,ARKK,SQUARE INC - A,SQ,852234103,4391015,928392301.5,4.6
06/04/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2762702,881329565,4.37
06/04/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,716771,859408429,4.26
06/04/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,3128778,731070267.5,3.63
06/04/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3059379,710357210,3.52
06/04/2021,ARKK,TWILIO INC - A,TWLO,90138F102,2277542,705650837.9,3.5
06/04/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,7472530,695692543,3.45
06/04/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6285214,681505754,3.38
06/04/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,5636014,608182270.7,3.02
06/04/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,4834165,530936342,2.63
06/04/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,22142340,523223494.2,2.59
06/04/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2656587,459589551,2.28
06/04/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2309513,449777656.8,2.23
06/04/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,7933402,394369413.4,1.96
06/04/2021,ARKK,TWITTER INC,TWTR,90184L102,6476395,369219279,1.83
06/04/2021,ARKK,INVITAE CORP,NVTA,46185L103,13568239,366613817.8,1.82
06/04/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,4529118,361333034,1.79
06/04/2021,ARKK,SEA LTD-ADR,SE,81141R100,1359346,339292761.6,1.68
06/04/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,4730534,338280486.3,1.68
06/04/2021,ARKK,SKILLZ INC,SKLZ,83067L109,15180627,322284711.2,1.6
06/04/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,8189555,302931639.5,1.5
06/04/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,3729117,284531627.1,1.41
06/04/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,3594703,264282564.6,1.31
06/04/2021,ARKK,TERADYNE INC,TER,880770102,1899649,243762959.7,1.21
06/04/2021,ARKK,PAGERDUTY INC,PD,69553P100,5533428,224823179.6,1.12
06/04/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,3318016,223136576,1.11
06/04/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2311882,222218097.8,1.1
06/04/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,2795382,219018179.7,1.09
06/04/2021,ARKK,2U INC,TWOU,90214J101,5901684,204788434.8,1.02
06/04/2021,ARKK,PROTO LABS INC,PRLB,743713109,2278074,200652757.9,1
06/04/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11068235,192808653.7,0.96
06/04/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,4525174,174219199,0.86
06/04/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,4876241,162671399.8,0.81
06/04/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6182844,157477036.7,0.78
06/04/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,8396053,155914704.2,0.77
06/04/2021,ARKK,BERKELEY LIGHTS INC,BLI,84310101,3465105,140059544.1,0.69
06/04/2021,ARKK,VERACYTE INC,VCYT,92337F107,3547016,120243842.4,0.6
06/04/2021,ARKK,KE HOLDINGS INC-ADR,BEKE,482497104,2597714,120144272.5,0.6
06/04/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,4225709,115066056.1,0.57
06/04/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,5888970,108710386.2,0.54
06/04/2021,ARKK,STRATASYS LTD,SSYS,M85548101,4743848,109630327.3,0.54
06/04/2021,ARKK,TRIMBLE INC,TRMB,896239100,1398222,108851582.7,0.54
06/04/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,1204522,107575859.8,0.53
06/04/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1874428,98576168.52,0.49
06/04/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,863027,96313813.2,0.48
06/04/2021,ARKK,CERUS CORP,CERS,157085101,13966358,75557996.78,0.37
06/04/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,64693199.72,64693199.72,0.32
06/04/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,7347839,54006616.65,0.27
06/04/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,1151516,17295770.32,0.09
06/04/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,15959,95594.41,0
06/04/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,8014,62909.9,0
