company,weight,fund,ticker,prev.weights,final.weights
TESLA INC,9.98,ARKK,TSLA,9.98,10.1
TELADOC HEALTH INC,5.81,ARKK,TDOC,5.81,5.8
COINBASE GLOBAL INC -CLASS A,5.43,ARKK,COIN,5.43,5.4
ROKU INC,5.37,ARKK,ROKU,5.37,5.4
ZOOM VIDEO COMMUNICATIONS-A,5.34,ARKK,ZM,5.34,5.3
UNITY SOFTWARE INC,4.85,ARKK,U,4.85,4.8
SPOTIFY TECHNOLOGY SA,4.02,ARKK,SPOT,4.02,4
TWILIO INC - A,3.95,ARKK,TWLO,3.95,3.9
EXACT SCIENCES CORP,3.8,ARKK,EXAS,3.8,3.8
SQUARE INC - A,3.76,ARKK,SQ,3.76,3.8
SHOPIFY INC - CLASS A,3.65,ARKK,SHOP,3.65,3.6
UIPATH INC - CLASS A,3.27,ARKK,PATH,3.27,3.3
INTELLIA THERAPEUTICS INC,3.14,ARKK,NTLA,3.14,3.1
PALANTIR TECHNOLOGIES INC-A,2.88,ARKK,PLTR,2.88,2.9
CRISPR THERAPEUTICS AG,2.67,ARKK,CRSP,2.67,2.7
TWITTER INC,2.62,ARKK,TWTR,2.62,2.6
BEAM THERAPEUTICS INC,2.52,ARKK,BEAM,2.52,2.5
DRAFTKINGS INC - CL A,2.24,ARKK,DKNG,2.24,2.2
FATE THERAPEUTICS INC,1.83,ARKK,FATE,1.83,1.8
10X GENOMICS INC-CLASS A,1.79,ARKK,TXG,1.79,1.8
ROBINHOOD MARKETS INC - A,1.66,ARKK,HOOD,1.66,1.7
DOCUSIGN INC,1.58,ARKK,DOCU,1.58,1.6
INVITAE CORP,1.53,ARKK,NVTA,1.53,1.5
TUSIMPLE HOLDINGS INC - A,1.53,ARKK,TSP,1.53,1.5
IRIDIUM COMMUNICATIONS INC,1.52,ARKK,IRDM,1.52,1.5
PACIFIC BIOSCIENCES OF CALIF,1.46,ARKK,PACB,1.46,1.5
GINKGO BIOWORKS HOLDINGS INC,1.29,ARKK,DNA,1.29,1.3
PAGERDUTY INC,1.28,ARKK,PD,1.28,1.3
TRIMBLE INC,0.94,ARKK,TRMB,0.94,0.9
VERACYTE INC,0.94,ARKK,VCYT,0.94,0.9
TWIST BIOSCIENCE CORP,0.9,ARKK,TWST,0.9,0.9
SIGNIFY HEALTH INC -CLASS A,0.87,ARKK,SGFY,0.87,0.9
SKILLZ INC,0.82,ARKK,SKLZ,0.82,0.8
2U INC,0.68,ARKK,TWOU,0.68,0.7
EDITAS MEDICINE INC,0.66,ARKK,EDIT,0.66,0.7
BERKELEY LIGHTS INC,0.54,ARKK,BLI,0.54,0.5
IOVANCE BIOTHERAPEUTICS INC,0.54,ARKK,IOVA,0.54,0.5
STRATASYS LTD,0.54,ARKK,SSYS,0.54,0.5
CERUS CORP,0.4,ARKK,CERS,0.4,0.5
COMPUGEN LTD,0.13,ARKK,CGEN,0.13,0.5
3D SYSTEMS CORP,0.26,ARKK,DDD,0.26,0.5
ROBLOX CORP -CLASS A,0.25,ARKK,RBLX,0.25,0.5
MATERIALISE NV-ADR,0.48,ARKK,MTLS,0,0
DREYFUS GOVT CASH MAN INS,0.31,ARKK,,0,0
PROTO LABS INC,0,ARKK,PRLB,0,0
